request_id,sender_name,phone,pickup_city,pickup_lat,pickup_lon,dropoff_city,dropoff_lat,dropoff_lon,requested_date,required_capacity,crop_type
REQ0018,Ifeanyi Abiola,08047437115,Ibadan,7.3775,3.947,Abuja,9.0765,7.3986,2026-02-19,10,Potatoes
REQ0019,Ifeanyi Okonkwo,07053622663,Ilorin,8.4799,4.5418,Ibadan,7.3775,3.947,2026-02-17,20,Millet
REQ0020,Ifeanyi Ogunleye,09084597009,Port Harcourt,4.8156,7.0498,Abuja,9.0765,7.3986,2026-02-16,30,Millet
REQ0021,Uche Nwosu,07084514489,Enugu,6.4402,7.4943,Abuja,9.0765,7.3986,2026-02-17,45,Potatoes
REQ0022,Bala Okonkwo,08049491631,Kano,12.0022,8.592,Kaduna,10.5105,7.4165,2026-02-17,20,Millet
REQ0023,Samuel Adeniyi,09067110154,Abuja,9.0765,7.3986,Ibadan,7.3775,3.947,2026-02-20,15,Yam
REQ0024,Ahmed Ogunleye,08126194158,Kano,12.0022,8.592,Abuja,9.0765,7.3986,2026-02-17,15,Maize
REQ0025,Ngozi Abiola,07047111151,Kaduna,10.5105,7.4165,Awka,6.21,7.07,2026-02-20,30,Onions
REQ0026,Ngozi Ogunleye,08158436637,Abuja,9.0765,7.3986,Enugu,6.4402,7.4943,2026-02-17,15,Rice
REQ0027,Ahmed Okonkwo,08084270583,Kaduna,10.5105,7.4165,Awka,6.21,7.07,2026-02-18,45,Beans
REQ0028,Chukwuemeka Uba,09073001391,Kano,12.0022,8.592,Enugu,6.4402,7.4943,2026-02-19,20,Yam
REQ0029,Ahmed Balogun,08018770247,Awka,6.21,7.07,Lagos,6.5244,3.3792,2026-02-19,20,Maize
REQ0030,Emeka Eze,09021432787,Ilorin,8.4799,4.5418,Lagos,6.5244,3.3792,2026-02-17,5,Tomatoes
REQ0031,Bala Adeniyi,07070467027,Ibadan,7.3775,3.947,Onitsha,6.15,6.78,2026-02-19,15,Onions
REQ0032,Amaka Uba,08091823275,Ibadan,7.3775,3.947,Abuja,9.0765,7.3986,2026-02-16,10,Peppers
REQ0033,Ibrahim Ibrahim,08142194159,Onitsha,6.15,6.78,Port Harcourt,4.8156,7.0498,2026-02-17,30,Maize
REQ0034,Fatima Balogun,07049092160,Awka,6.21,7.07,Lagos,6.5244,3.3792,2026-02-16,10,Sorghum
REQ0035,Aisha Okafor,08145507920,Abuja,9.0765,7.3986,Kaduna,10.5105,7.4165,2026-02-20,45,Millet
REQ0036,Tunde Abiola,08145652586,Ibadan,7.3775,3.947,Enugu,6.4402,7.4943,2026-02-17,5,Rice
REQ0037,Amaka Bello,09068942178,Awka,6.21,7.07,Port Harcourt,4.8156,7.0498,2026-02-16,20,Sorghum
REQ0038,Tunde Adeniyi,07068755000,Ibadan,7.3775,3.947,Abuja,9.0765,7.3986,2026-02-16,30,Rice
REQ0039,Amaka Ogunleye,08022257687,Ibadan,7.3775,3.947,Port Harcourt,4.8156,7.0498,2026-02-17,45,Onions
REQ0040,Bala Okafor,09087342561,Ilorin,8.4799,4.5418,Lagos,6.5244,3.3792,2026-02-16,10,Potatoes
REQ0041,Ahmed Eze,07095199362,Kaduna,10.5105,7.4165,Kano,12.0022,8.592,2026-02-19,5,Potatoes
REQ0042,Ifeanyi Chukwu,08031585546,Port Harcourt,4.8156,7.0498,Kano,12.0022,8.592,2026-02-18,20,Potatoes
REQ0043,Bala Adeniyi,08071045700,Abuja,9.0765,7.3986,Kano,12.0022,8.592,2026-02-16,15,Sorghum
REQ0044,Bala Nwosu,08098269682,Port Harcourt,4.8156,7.0498,Enugu,6.4402,7.4943,2026-02-20,20,Cassava
REQ0045,Tunde Chukwu,07093940940,Lagos,6.5244,3.3792,Abuja,9.0765,7.3986,2026-02-19,5,Millet
REQ0046,Emeka Ogunleye,07075056916,Abuja,9.0765,7.3986,Ilorin,8.4799,4.5418,2026-02-16,5,Peppers
REQ0047,Uche Eze,09083932360,Ilorin,8.4799,4.5418,Onitsha,6.15,6.78,2026-02-16,30,Cassava
REQ0048,Aisha Balogun,08096934122,Enugu,6.4402,7.4943,Abuja,9.0765,7.3986,2026-02-17,20,Sorghum
REQ0049,Fatima Balogun,07042713008,Kaduna,10.5105,7.4165,Abuja,9.0765,7.3986,2026-02-19,30,Beans
REQ0050,Amaka Adeniyi,08119369750,Ibadan,7.3775,3.947,Onitsha,6.15,6.78,2026-02-18,20,Yam
REQ0051,Chukwuemeka Ogunleye,09088777447,Kaduna,10.5105,7.4165,Abuja,9.0765,7.3986,2026-02-20,45,Potatoes
REQ0052,Tunde Balogun,09054619335,Awka,6.21,7.07,Kaduna,10.5105,7.4165,2026-02-20,30,Cassava
REQ0053,Ngozi Bello,08186745380,Kano,12.0022,8.592,Port Harcourt,4.8156,7.0498,2026-02-19,10,Cassava
REQ0054,Uche Balogun,07061818612,Lagos,6.5244,3.3792,Ibadan,7.3775,3.947,2026-02-17,20,Rice
REQ0055,Amaka Chukwu,08069096899,Awka,6.21,7.07,Ilorin,8.4799,4.5418,2026-02-16,30,Potatoes
REQ0056,Fatima Okafor,08120043277,Lagos,6.5244,3.3792,Onitsha,6.15,6.78,2026-02-19,15,Yam
REQ0057,Ibrahim Ibrahim,09081621574,Ilorin,8.4799,4.5418,Ibadan,7.3775,3.947,2026-02-19,15,Peppers
REQ0058,Chukwuemeka Uba,08041510328,Kano,12.0022,8.592,Ilorin,8.4799,4.5418,2026-02-18,10,Maize
REQ0059,Bala Okafor,08069549527,Ibadan,7.3775,3.947,Enugu,6.4402,7.4943,2026-02-17,45,Sorghum
REQ0060,Ifeanyi Adeyemi,08049375156,Lagos,6.5244,3.3792,Enugu,6.4402,7.4943,2026-02-18,15,Cassava
REQ0061,Tunde Nwosu,08132814819,Awka,6.21,7.07,Abuja,9.0765,7.3986,2026-02-17,5,Onions
REQ0062,Samuel Uba,08141163805,Ibadan,7.3775,3.947,Onitsha,6.15,6.78,2026-02-19,45,Sorghum
REQ0063,Ibrahim Okonkwo,07048605268,Kano,12.0022,8.592,Abuja,9.0765,7.3986,2026-02-20,10,Maize
REQ0064,Amaka Ogunleye,07043567615,Kano,12.0022,8.592,Port Harcourt,4.8156,7.0498,2026-02-19,15,Millet
REQ0065,Aisha Abiola,07086762164,Ibadan,7.3775,3.947,Kaduna,10.5105,7.4165,2026-02-18,30,Sorghum
REQ0066,Ibrahim Nwosu,09011086890,Abuja,9.0765,7.3986,Lagos,6.5244,3.3792,2026-02-20,45,Rice
REQ0067,Ahmed Adeyemi,08191478884,Ilorin,8.4799,4.5418,Kano,12.0022,8.592,2026-02-18,10,Peppers
REQ0068,Ibrahim Adeyemi,08194322033,Onitsha,6.15,6.78,Port Harcourt,4.8156,7.0498,2026-02-16,45,Peppers
REQ0069,Bala Balogun,08087789079,Lagos,6.5244,3.3792,Port Harcourt,4.8156,7.0498,2026-02-18,45,Beans
REQ0070,Ifeanyi Bello,07033574011,Enugu,6.4402,7.4943,Port Harcourt,4.8156,7.0498,2026-02-17,10,Tomatoes
REQ0071,Tunde Ogunleye,08144489940,Port Harcourt,4.8156,7.0498,Ilorin,8.4799,4.5418,2026-02-19,15,Yam
REQ0072,Aisha Eze,08163339667,Enugu,6.4402,7.4943,Kaduna,10.5105,7.4165,2026-02-20,15,Maize
REQ0073,Ahmed Adeniyi,08071040347,Ibadan,7.3775,3.947,Lagos,6.5244,3.3792,2026-02-18,45,Peppers
REQ0074,Ibrahim Chukwu,08041383044,Abuja,9.0765,7.3986,Kano,12.0022,8.592,2026-02-19,5,Onions
REQ0075,Amaka Abiola,08095282470,Kaduna,10.5105,7.4165,Port Harcourt,4.8156,7.0498,2026-02-19,45,Sorghum
REQ0076,Emeka Okonkwo,08050851122,Ibadan,7.3775,3.947,Enugu,6.4402,7.4943,2026-02-19,5,Maize
REQ0077,Emeka Nwosu,07059796322,Onitsha,6.15,6.78,Ilorin,8.4799,4.5418,2026-02-20,20,Onions
REQ0078,Ibrahim Ibrahim,07092631441,Awka,6.21,7.07,Kano,12.0022,8.592,2026-02-19,15,Rice
REQ0079,Samuel Balogun,08158678896,Port Harcourt,4.8156,7.0498,Onitsha,6.15,6.78,2026-02-16,45,Yam
REQ0080,Chukwuemeka Nwosu,09035475673,Kaduna,10.5105,7.4165,Port Harcourt,4.8156,7.0498,2026-02-16,20,Maize
REQ0081,Chukwuemeka Adeyemi,09042691263,Onitsha,6.15,6.78,Lagos,6.5244,3.3792,2026-02-17,30,Millet
REQ0082,Ngozi Uba,08141272553,Enugu,6.4402,7.4943,Ilorin,8.4799,4.5418,2026-02-18,10,Onions
REQ0083,Emeka Eze,09033420607,Lagos,6.5244,3.3792,Port Harcourt,4.8156,7.0498,2026-02-16,45,Rice
REQ0084,Ifeanyi Adeyemi,08189034501,Awka,6.21,7.07,Lagos,6.5244,3.3792,2026-02-18,5,Beans
REQ0085,Emeka Bello,07080610004,Abuja,9.0765,7.3986,Lagos,6.5244,3.3792,2026-02-16,45,Maize
REQ0086,Bala Chukwu,08070667140,Kano,12.0022,8.592,Kaduna,10.5105,7.4165,2026-02-20,10,Onions
REQ0087,Ahmed Balogun,08018163847,Lagos,6.5244,3.3792,Ilorin,8.4799,4.5418,2026-02-19,20,Cassava
REQ0088,Uche Balogun,08020843514,Enugu,6.4402,7.4943,Kaduna,10.5105,7.4165,2026-02-18,30,Beans
REQ0089,Ahmed Uba,09061124122,Enugu,6.4402,7.4943,Onitsha,6.15,6.78,2026-02-20,30,Sorghum
REQ0090,Amaka Nwosu,08025356396,Kano,12.0022,8.592,Ilorin,8.4799,4.5418,2026-02-20,45,Millet
REQ0091,Ngozi Nwosu,09070867592,Ibadan,7.3775,3.947,Kaduna,10.5105,7.4165,2026-02-19,20,Maize
REQ0092,Ifeanyi Okafor,09060237832,Port Harcourt,4.8156,7.0498,Kano,12.0022,8.592,2026-02-17,45,Potatoes
REQ0093,Aisha Ibrahim,07022960658,Enugu,6.4402,7.4943,Awka,6.21,7.07,2026-02-18,10,Tomatoes
REQ0094,Tunde Chukwu,08065137801,Lagos,6.5244,3.3792,Ilorin,8.4799,4.5418,2026-02-18,45,Cassava
REQ0095,Amaka Ogunleye,09023905032,Lagos,6.5244,3.3792,Port Harcourt,4.8156,7.0498,2026-02-20,30,Millet
REQ0096,Ngozi Ibrahim,09084660688,Awka,6.21,7.07,Kaduna,10.5105,7.4165,2026-02-18,5,Sorghum
REQ0097,Bala Nwosu,08091737913,Ilorin,8.4799,4.5418,Onitsha,6.15,6.78,2026-02-18,5,Beans
REQ0098,Ifeanyi Chukwu,08034347841,Abuja,9.0765,7.3986,Port Harcourt,4.8156,7.0498,2026-02-17,30,Peppers
REQ0099,Emeka Bello,08022315507,Ibadan,7.3775,3.947,Enugu,6.4402,7.4943,2026-02-20,10,Cassava
REQ0100,Ifeanyi Eze,09051827259,Ibadan,7.3775,3.947,Kaduna,10.5105,7.4165,2026-02-18,30,Onions
